file,feature_root,previous_category,v1_disposition,reason,direct_external_importers,official_v1_root
lib/core/operational_intelligence/action_plan/atlas_action_outcome_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_executive_intelligence_screen.dart | lib/core/operational_intelligence/action_plan/atlas_results_intelligence_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_agriculture_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_agriculture_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_asset_maintenance_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_asset_maintenance_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_climate_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_climate_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_command_center_action_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_command_center_action_controller.dart | lib/core/operational_intelligence/action_plan/atlas_meeting_decision_action_service.dart | lib/core/operational_intelligence/action_plan/atlas_meeting_decision_action_sync_service.dart | lib/core/operational_intelligence/action_plan/atlas_team_management_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_command_center_action_update_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_command_center_action_controller.dart,False
lib/core/operational_intelligence/action_plan/atlas_commercial_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_commercial_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_economic_intelligence_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_economic_intelligence_screen.dart | lib/core/operational_intelligence/action_plan/atlas_economic_scenario_service.dart | lib/core/operational_intelligence/action_plan/atlas_executive_360_service.dart,False
lib/core/operational_intelligence/action_plan/atlas_esg_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_esg_screen.dart,False
lib/core/operational_intelligence/action_plan/atlas_execution_audit_service.dart,core/operational_intelligence,advanced_local_planning,advanced_validation,"Planejamento/inteligência derivada: pode existir na V1 como apoio, mas não é cadastro oficial e permanece em validação.",lib/core/operational_intelligence/action_plan/atlas_command_center_action_service.dart | lib/core/operational_intelligence/action_plan/atlas_execution_audit_screen.dart | lib/core/operational_intelligence/action_plan/atlas_execution_meeting_service.dart,False
