method,path,file,obvious_consumer
POST,/advanced/farms/{farm_id}/geo-assets,backend/app/routers/advanced.py,False
GET,/advanced/farms/{farm_id}/geo-assets,backend/app/routers/advanced.py,True
POST,/advanced/farms/{farm_id}/geo/import,backend/app/routers/advanced.py,False
POST,/advanced/farms/{farm_id}/pasture,backend/app/routers/advanced.py,False
GET,/advanced/farms/{farm_id}/pasture/dashboard,backend/app/routers/advanced.py,True
POST,/advanced/farms/{farm_id}/agriculture,backend/app/routers/advanced.py,False
GET,/advanced/farms/{farm_id}/agriculture/dashboard,backend/app/routers/advanced.py,True
PUT,/advanced/farms/{farm_id}/genetics,backend/app/routers/advanced.py,False
GET,/advanced/farms/{farm_id}/genetics/ranking,backend/app/routers/advanced.py,True
GET,/advanced/farms/{farm_id}/genetics/{animal_id}/pedigree,backend/app/routers/advanced.py,False
POST,/advanced/farms/{farm_id}/genetics/mating-simulator,backend/app/routers/advanced.py,False
POST,/advanced/farms/{farm_id}/ai/forecast,backend/app/routers/advanced.py,True
GET,/advanced/farms/{farm_id}/advanced-dashboard,backend/app/routers/advanced.py,True
POST,/ai/conversations,backend/app/routers/ai.py,True
GET,/ai/conversations,backend/app/routers/ai.py,True
POST,/ai/conversations/{conversation_id}/messages,backend/app/routers/ai.py,True
GET,/ai/conversations/{conversation_id}/messages,backend/app/routers/ai.py,True
POST,/ai/analyze/{area},backend/app/routers/ai.py,True
GET,/ai/recommendations,backend/app/routers/ai.py,True
PATCH,/ai/recommendations/{recommendation_id}/review,backend/app/routers/ai.py,False
POST,/ai/executive,backend/app/routers/ai.py,True
POST,/ai-operational/farms/{farm_id}/context,backend/app/routers/ai_operational.py,True
POST,/ai-operational/farms/{farm_id}/recommendations,backend/app/routers/ai_operational.py,True
POST,/ai-operational/recommendations/{recommendation_id}/decision,backend/app/routers/ai_operational.py,True
POST,/ai-operational/farms/{farm_id}/memory,backend/app/routers/ai_operational.py,True
POST,/ai-operational/farms/{farm_id}/simulate,backend/app/routers/ai_operational.py,True
POST,/ai-operational/farms/{farm_id}/automations,backend/app/routers/ai_operational.py,True
POST,/ai-operational/automations/{automation_id}/approve,backend/app/routers/ai_operational.py,False
POST,/ai-operational/governance/models,backend/app/routers/ai_operational.py,False
POST,/ai-operational/governance/models/{model_id}/approve,backend/app/routers/ai_operational.py,False
POST,/analytics/warehouse/refresh,backend/app/routers/analytics.py,True
GET,/analytics/facts,backend/app/routers/analytics.py,False
POST,/analytics/kpis,backend/app/routers/analytics.py,True
GET,/analytics/kpis,backend/app/routers/analytics.py,True
POST,/analytics/goals,backend/app/routers/analytics.py,True
GET,/analytics/goals,backend/app/routers/analytics.py,True
PATCH,/analytics/goals/{goal_id},backend/app/routers/analytics.py,True
POST,/analytics/goals/recalculate,backend/app/routers/analytics.py,False
POST,/analytics/benchmarks/{metric_key},backend/app/routers/analytics.py,False
GET,/analytics/benchmarks,backend/app/routers/analytics.py,False
POST,/analytics/farm-score/{farm_id},backend/app/routers/analytics.py,True
GET,/analytics/farm-score/{farm_id},backend/app/routers/analytics.py,True
GET,/analytics/dashboard,backend/app/routers/analytics.py,True
GET,/animal-media/{animal_id},backend/app/routers/animal_media.py,True
POST,/animal-media/{animal_id},backend/app/routers/animal_media.py,True
POST,/animal-media/{animal_id}/reference,backend/app/routers/animal_media.py,True
PATCH,/animal-media/{animal_id}/{media_id},backend/app/routers/animal_media.py,True
PUT,/animal-media/{animal_id}/{media_id}/content,backend/app/routers/animal_media.py,False
GET,/animal-media/{animal_id}/{media_id}/content,backend/app/routers/animal_media.py,False
DELETE,/animal-media/{animal_id}/{media_id},backend/app/routers/animal_media.py,True
GET,/animals,backend/app/routers/animals.py,True
GET,/animals/{animal_id}/genealogy,backend/app/routers/animals.py,True
GET,/animals/{animal_id}/history,backend/app/routers/animals.py,True
GET,/animals/{animal_id}/timeline,backend/app/routers/animals.py,False
GET,/animals/{animal_id},backend/app/routers/animals.py,True
POST,/animals,backend/app/routers/animals.py,True
PATCH,/animals/{animal_id},backend/app/routers/animals.py,True
DELETE,/animals/{animal_id},backend/app/routers/animals.py,True
POST,/atlas-ai/sessions,backend/app/routers/atlas_ai_enterprise.py,False
GET,/atlas-ai/sessions,backend/app/routers/atlas_ai_enterprise.py,False
POST,/atlas-ai/chat,backend/app/routers/atlas_ai_enterprise.py,True
GET,/atlas-ai/sessions/{session_id}/messages,backend/app/routers/atlas_ai_enterprise.py,False
POST,/atlas-ai/memories,backend/app/routers/atlas_ai_enterprise.py,False
GET,/atlas-ai/memories,backend/app/routers/atlas_ai_enterprise.py,False
POST,/atlas-ai/plans,backend/app/routers/atlas_ai_enterprise.py,True
GET,/atlas-ai/plans,backend/app/routers/atlas_ai_enterprise.py,True
GET,/atlas-ai/recommendations,backend/app/routers/atlas_ai_enterprise.py,True
PATCH,/atlas-ai/recommendations/{recommendation_id}/status,backend/app/routers/atlas_ai_enterprise.py,False
POST,/atlas-ai/knowledge/documents,backend/app/routers/atlas_ai_enterprise.py,False
GET,/atlas-ai/knowledge/documents,backend/app/routers/atlas_ai_enterprise.py,False
GET,/atlas-ai/dashboard,backend/app/routers/atlas_ai_enterprise.py,True
GET,/atlas-brain/readiness,backend/app/routers/atlas_brain.py,False
GET,/atlas-vision/readiness,backend/app/routers/atlas_vision.py,False
GET,/audit,backend/app/routers/audit.py,True
POST,/auth/register,backend/app/routers/auth.py,True
POST,/auth/confirm-email,backend/app/routers/auth.py,True
POST,/auth/login,backend/app/routers/auth.py,True
POST,/auth/mfa/challenge,backend/app/routers/auth.py,True
POST,/auth/refresh,backend/app/routers/auth.py,True
POST,/auth/logout,backend/app/routers/auth.py,True
GET,/auth/sessions,backend/app/routers/auth.py,False
DELETE,/auth/sessions/{session_id},backend/app/routers/auth.py,False
POST,/auth/password/request,backend/app/routers/auth.py,True
POST,/auth/password/confirm,backend/app/routers/auth.py,True
POST,/auth/mfa/setup,backend/app/routers/auth.py,True
POST,/auth/mfa/verify,backend/app/routers/auth.py,True
DELETE,/auth/mfa,backend/app/routers/auth.py,True
GET,/auth/security-events,backend/app/routers/auth.py,False
GET,/auth/me,backend/app/routers/auth.py,True
POST,/auth/switch-company,backend/app/routers/auth.py,True
POST,/automation/rules,backend/app/routers/automation.py,True
GET,/automation/rules,backend/app/routers/automation.py,True
POST,/automation/events/execute,backend/app/routers/automation.py,False
POST,/automation/workflows,backend/app/routers/automation.py,False
GET,/automation/workflows,backend/app/routers/automation.py,False
POST,/automation/workflows/{workflow_id}/start,backend/app/routers/automation.py,False
POST,/automation/calendar,backend/app/routers/automation.py,True
GET,/automation/calendar,backend/app/routers/automation.py,True
POST,/automation/objectives,backend/app/routers/automation.py,True
GET,/automation/objectives,backend/app/routers/automation.py,True
POST,/automation/executive-digests,backend/app/routers/automation.py,False
GET,/automation/dashboard,backend/app/routers/automation.py,True
GET,/backups,backend/app/routers/backups.py,True
POST,/backups/run,backend/app/routers/backups.py,True
POST,/backups/{filename}/verify-restore,backend/app/routers/backups.py,False
GET,/billing/readiness,backend/app/routers/billing.py,False
POST,/business/parties,backend/app/routers/business.py,True
GET,/business/parties,backend/app/routers/business.py,True
POST,/business/commercial-documents,backend/app/routers/business.py,True
GET,/business/commercial-documents,backend/app/routers/business.py,True
GET,/business/commercial/dashboard,backend/app/routers/business.py,False
POST,/business/consulting/visits,backend/app/routers/business.py,False
GET,/business/consulting/visits,backend/app/routers/business.py,False
POST,/business/consulting/actions,backend/app/routers/business.py,False
PATCH,/business/consulting/actions/{action_id}/complete,backend/app/routers/business.py,False
GET,/business/consulting/dashboard,backend/app/routers/business.py,False
POST,/business/workflows,backend/app/routers/business.py,False
POST,/business/workflows/start,backend/app/routers/business.py,False
POST,/business/workflows/{instance_id}/decision,backend/app/routers/business.py,False
POST,/business/api-keys,backend/app/routers/business.py,False
POST,/business/webhooks,backend/app/routers/business.py,False
GET,/business/enterprise/readiness,backend/app/routers/business.py,False
GET,/business/bi/dashboard,backend/app/routers/business.py,True
POST,/business/bi/snapshots,backend/app/routers/business.py,False
POST,/business/subscriptions,backend/app/routers/business.py,False
GET,/business/product/readiness,backend/app/routers/business.py,True
GET,/business/dashboard,backend/app/routers/business.py,True
GET,/cloud-operations/readiness,backend/app/routers/cloud_operations.py,False
POST,/commercial/customers,backend/app/routers/commercial.py,True
GET,/commercial/customers,backend/app/routers/commercial.py,True
POST,/commercial/opportunities,backend/app/routers/commercial.py,True
GET,/commercial/opportunities,backend/app/routers/commercial.py,True
PATCH,/commercial/opportunities/{opportunity_id},backend/app/routers/commercial.py,True
POST,/commercial/proposals,backend/app/routers/commercial.py,False
GET,/commercial/proposals,backend/app/routers/commercial.py,False
PATCH,/commercial/proposals/{proposal_id}/status,backend/app/routers/commercial.py,False
POST,/commercial/contracts,backend/app/routers/commercial.py,False
