screen,file,references,network_calls,uses_shared_preferences,action_callbacks,disabled_actions
AtlasEventAnalyticsScreen,lib/core/event_center/atlas_event_analytics_screen.dart,5,,False,1,0
AtlasEventCenterScreen,lib/core/event_center/atlas_event_center_screen.dart,5,,False,8,0
AtlasEventDetailScreen,lib/core/event_center/atlas_event_detail_screen.dart,4,,False,0,0
AtlasFoundationCenterScreen,lib/core/foundation/atlas_foundation_center_screen.dart,5,,False,0,0
AtlasIntegrationCoreScreen,lib/core/integration/atlas_integration_core_screen.dart,5,,False,3,0
AtlasOfflineCenterScreen,lib/core/offline/presentation/atlas_offline_center_screen.dart,5,,False,4,0
AtlasActionAttentionScreen,lib/core/operational_intelligence/action_plan/atlas_action_attention_screen.dart,5,,False,3,0
AtlasAgricultureScreen,lib/core/operational_intelligence/action_plan/atlas_agriculture_screen.dart,5,,False,12,0
AtlasAssetMaintenanceScreen,lib/core/operational_intelligence/action_plan/atlas_asset_maintenance_screen.dart,5,,False,17,0
AtlasClimateScreen,lib/core/operational_intelligence/action_plan/atlas_climate_screen.dart,5,,False,8,0
AtlasCommandCenterActionPlanScreen,lib/core/operational_intelligence/action_plan/atlas_command_center_action_plan_screen.dart,6,,False,40,0
AtlasCommercialScreen,lib/core/operational_intelligence/action_plan/atlas_commercial_screen.dart,5,,False,14,0
AtlasEconomicIntelligenceScreen,lib/core/operational_intelligence/action_plan/atlas_economic_intelligence_screen.dart,6,,False,8,0
AtlasEconomicScenarioScreen,lib/core/operational_intelligence/action_plan/atlas_economic_scenario_screen.dart,5,,False,3,0
AtlasEsgScreen,lib/core/operational_intelligence/action_plan/atlas_esg_screen.dart,5,,False,5,0
AtlasExecutionAuditScreen,lib/core/operational_intelligence/action_plan/atlas_execution_audit_screen.dart,6,,False,1,0
AtlasExecutionMeetingScreen,lib/core/operational_intelligence/action_plan/atlas_execution_meeting_screen.dart,5,,False,17,0
AtlasExecutionWeeklyReviewScreen,lib/core/operational_intelligence/action_plan/atlas_execution_weekly_review_screen.dart,5,,False,5,0
AtlasExecutive360Screen,lib/core/operational_intelligence/action_plan/atlas_executive_360_screen.dart,5,,False,3,0
AtlasExecutiveIntelligenceScreen,lib/core/operational_intelligence/action_plan/atlas_executive_intelligence_screen.dart,13,,False,1,0
