tela;arquivo;modulo;classificacao;usa_api_ou_client;usa_cache_ou_storage_local;marcadores_mock_demo
Animal Health Enterprise;features/animal_health_enterprise/presentation/screens/animal_health_enterprise_screen.dart;animal_health_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Animal Nutrition Enterprise;features/animal_nutrition_enterprise/presentation/screens/animal_nutrition_enterprise_screen.dart;animal_nutrition_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Animal Reproduction Enterprise;features/animal_reproduction_enterprise/presentation/screens/animal_reproduction_enterprise_screen.dart;animal_reproduction_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Ai Enterprise;features/atlas_ai_enterprise/presentation/screens/atlas_ai_enterprise_screen.dart;atlas_ai_enterprise;ADMIN_OU_OPERACIONAL;False;False;
Atlas Auth Sync;features/atlas_auth_sync_enterprise/presentation/screens/atlas_auth_sync_screen.dart;atlas_auth_sync_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Autonomous Enterprise;features/atlas_autonomous_enterprise/presentation/screens/atlas_autonomous_enterprise_screen.dart;atlas_autonomous_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Climate Enterprise;features/atlas_climate_enterprise/presentation/screens/atlas_climate_enterprise_screen.dart;atlas_climate_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Cloud Security;features/atlas_cloud_security_enterprise/presentation/screens/atlas_cloud_security_screen.dart;atlas_cloud_security_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Commercial Enterprise;features/atlas_commercial_enterprise/presentation/screens/atlas_commercial_enterprise_screen.dart;atlas_commercial_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Commercial Operations;features/atlas_commercial_operations/presentation/screens/atlas_commercial_operations_screen.dart;atlas_commercial_operations;ADMIN_OU_OPERACIONAL;False;True;
Atlas Copilot;features/atlas_copilot/presentation/screens/atlas_copilot_screen.dart;atlas_copilot;ADMIN_OU_OPERACIONAL;False;False;
Atlas Enterprise 50;features/atlas_enterprise_50/presentation/screens/atlas_enterprise_50_screen.dart;atlas_enterprise_50;ADMIN_OU_OPERACIONAL;False;True;
Atlas Enterprise Operations;features/atlas_enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart;atlas_enterprise_operations;ADMIN_OU_OPERACIONAL;False;True;
Atlas Executive Platform;features/atlas_executive_platform/presentation/screens/atlas_executive_platform_screen.dart;atlas_executive_platform;ADMIN_OU_OPERACIONAL;False;True;
Atlas Finance Enterprise;features/atlas_finance_enterprise/presentation/screens/atlas_finance_enterprise_screen.dart;atlas_finance_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Geospatial;features/atlas_geospatial_platform/presentation/screens/atlas_geospatial_screen.dart;atlas_geospatial_platform;ADMIN_OU_OPERACIONAL;False;True;
Atlas Global Platform;features/atlas_global_platform/presentation/screens/atlas_global_platform_screen.dart;atlas_global_platform;ADMIN_OU_OPERACIONAL;False;True;
Atlas Governance Operations;features/atlas_governance_operations/presentation/screens/atlas_governance_operations_screen.dart;atlas_governance_operations;ADMIN_OU_OPERACIONAL;False;True;
Atlas Governance People;features/atlas_governance_people_enterprise/presentation/screens/atlas_governance_people_screen.dart;atlas_governance_people_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Iot;features/atlas_iot_platform/presentation/screens/atlas_iot_screen.dart;atlas_iot_platform;ADMIN_OU_OPERACIONAL;False;True;
Atlas Operations Enterprise;features/atlas_operations_enterprise/presentation/screens/atlas_operations_enterprise_screen.dart;atlas_operations_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Platform Resilience;features/atlas_platform_resilience/presentation/screens/atlas_platform_resilience_screen.dart;atlas_platform_resilience;ADMIN_OU_OPERACIONAL;False;True;
Atlas Quality Release;features/atlas_quality_release/presentation/screens/atlas_quality_release_screen.dart;atlas_quality_release;ADMIN_OU_OPERACIONAL;False;True;
Atlas Saas Platform;features/atlas_saas_platform/presentation/screens/atlas_saas_platform_screen.dart;atlas_saas_platform;ADMIN_OU_OPERACIONAL;False;True;
Atlas Scale Center;features/atlas_scale/presentation/screens/atlas_scale_center_screen.dart;atlas_scale;ADMIN_OU_OPERACIONAL;False;False;
Atlas Supply Logistics;features/atlas_supply_logistics_enterprise/presentation/screens/atlas_supply_logistics_screen.dart;atlas_supply_logistics_enterprise;ADMIN_OU_OPERACIONAL;False;True;
Atlas Sustainability Enterprise;features/atlas_sustainability_enterprise/presentation/screens/atlas_sustainability_enterprise_screen.dart;atlas_sustainability_enterprise;ADMIN_OU_OPERACIONAL;False;True;
