declaration,locations,action
AtlasCommandCenterState,core/operational_intelligence/atlas_command_center_state.dart | features/command_center/domain/models/atlas_command_center_data.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasConsultancyAction,features/consultancy_client/domain/models/atlas_consultancy_action.dart | features/consultancy_workflow/domain/models/atlas_consultancy_case.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasCopilotAction,features/atlas_copilot/domain/models/atlas_copilot_data.dart | features/dashboard/domain/services/atlas_copilot_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasCopilotIntelligenceCard,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasCopilotScreen,features/atlas_copilot/presentation/screens/atlas_copilot_screen.dart | features/copilot/presentation/screens/atlas_copilot_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasCopilotService,features/atlas_copilot/domain/services/atlas_copilot_service.dart | features/dashboard/domain/services/atlas_copilot_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasDecisionBadge,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasDecisionRisk,features/decision_engine/domain/models/atlas_decision_engine_data.dart | features/decision_intelligence_lab/domain/models/atlas_decision_scenario.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasEnterpriseOperationsScreen,features/atlas_enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart | features/enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasExecutiveIntelligenceScreen,core/operational_intelligence/action_plan/atlas_executive_intelligence_screen.dart | features/atlas_executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart | features/executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasExecutiveIntelligenceService,core/operational_intelligence/action_plan/atlas_executive_intelligence_service.dart | features/executive_intelligence/domain/services/atlas_executive_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasExecutiveKpi,core/operational_intelligence/action_plan/atlas_executive_intelligence.dart | features/executive_kpis/domain/models/atlas_executive_kpi.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasGroupAnalysis,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasGroupAnalysisList,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasGroupAnalysisTabs,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasGroupType,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasInsightCard,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart | features/dashboard/presentation/screens/dashboard_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasInsightGrid,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasInsightIconType,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceBadge,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceBrief,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceHero,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceInsight,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceLevel,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceScreen,features/atlas_intelligence/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasIntelligenceService,features/atlas_intelligence/domain/services/atlas_intelligence_service.dart | features/atlas_intelligence_center/data/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_intelligence_service.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasOperationScorePanel,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasOperationsRepository,features/farm_operations/data/services/atlas_operations_repository.dart | features/operations/data/atlas_operations_repository.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPerformanceAlert,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_analysis.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPerformanceAlertSeverity,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_analysis.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPerformanceEngine,features/performance_center/domain/services/atlas_performance_engine.dart | features/performance_intelligence/domain/services/atlas_performance_engine.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPerformanceKpi,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_kpi.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPredictiveAiScreen,features/atlas_predictive_ai_suite/presentation/screens/atlas_predictive_ai_screen.dart | features/predictive_ai/presentation/screens/atlas_predictive_ai_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPredictiveScenario,features/predictive_ai/domain/models/atlas_predictive_scenario.dart | features/predictive_analytics/domain/models/atlas_predictive_analytics_data.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPredictiveScenarioType,features/predictive/domain/models/atlas_predictive_scenario.dart | features/predictive_analytics/domain/models/atlas_predictive_analytics_data.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasPriorityList,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasReleaseCheck,core/release_candidate/atlas_release_candidate_models.dart | features/release_management/domain/models/atlas_release_plan.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasSectionTitle,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasSituationSummaryGrid,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasSmallMetric,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasSummaryCard,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasSyncEngine,core/sync/atlas_sync_engine.dart | features/sync_platform/domain/services/atlas_sync_engine.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasSyncSummary,core/sync/atlas_sync_engine.dart | features/sync_platform/domain/models/atlas_sync_data.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
AtlasTodayGuidanceCard,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
ExecutiveAlertData,features/dashboard/domain/models/executive_dashboard_data.dart | features/dashboard/presentation/screens/executive_dashboard_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
HeaderMetric,features/farm/presentation/screens/farm_detail_screen.dart | features/indicators/presentation/screens/indicators_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
SectionTitle,features/animal/presentation/screens/animal_detail_screen.dart | features/dashboard/presentation/screens/dashboard_screen.dart | features/farm/presentation/screens/farm_detail_screen.dart,CONSOLIDATE_OR_DOCUMENT_EXCEPTION
