lines,path,priority
9704,lib/features/dashboard/presentation/screens/executive_dashboard_screen.dart,P0
5885,lib/features/animal/presentation/screens/animal_detail_screen.dart,P0
4084,backend/app/routers/livestock.py,P0
3138,lib/features/farm/presentation/screens/farm_detail_screen.dart,P0
2796,backend/app/models/legacy.py,P0
2641,lib/features/reports/presentation/screens/reports_screen.dart,P0
2400,backend/app/schemas/legacy.py,P1
2276,lib/features/dashboard/presentation/screens/dashboard_screen.dart,P1
2033,lib/features/reports/presentation/screens/report_action_list_screen.dart,P1
2033,lib/features/atlas_bi/presentation/screens/atlas_bi_hub_screen.dart,P1
2008,lib/core/operational_intelligence/action_plan/atlas_inventory_management_screen.dart,P1
1970,lib/features/farm/domain/services/atlas_farm_intelligence_service.dart,P1
1923,lib/features/atlas_ai/presentation/screens/atlas_ai_screen.dart,P1
1734,lib/features/reports/data/services/report_pdf_service.dart,P1
1686,lib/features/atlas_ai/domain/services/atlas_ai_response_service.dart,P1
1574,lib/features/predictive/presentation/screens/atlas_predictive_screen.dart,P1
1546,lib/core/operational_intelligence/action_plan/atlas_asset_maintenance_screen.dart,P1
1541,lib/features/farm_agenda/presentation/screens/farm_agenda_list_screen.dart,P1
1528,lib/features/dashboard/presentation/screens/executive_decision_center_screen.dart,P1
1519,lib/features/farm_inventory/presentation/screens/farm_inventory_list_screen.dart,P1
1431,lib/features/animal_event/presentation/screens/animal_timeline_screen.dart,P2
1429,lib/features/executive_kpis/presentation/screens/atlas_executive_kpis_screen.dart,P2
1384,lib/features/farm_handling/presentation/screens/farm_handling_screen.dart,P2
1376,lib/features/dashboard/domain/services/executive_dashboard_service.dart,P2
1341,lib/features/nutrition/presentation/screens/nutrition_overview_screen.dart,P2
1299,lib/features/reports/data/services/report_excel_service.dart,P2
1294,lib/features/executive_alerts/presentation/screens/atlas_executive_alerts_screen.dart,P2
1289,lib/features/dashboard/presentation/widgets/executive_opinion_card.dart,P2
1267,lib/features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart,P2
1267,lib/features/dashboard/presentation/screens/atlas_intelligence_screen.dart,P2
1249,lib/core/operational_intelligence/action_plan/atlas_command_center_action_plan_screen.dart,P2
1248,lib/features/dashboard/data/services/executive_dashboard_excel_service.dart,P2
1222,lib/features/executive_goals/presentation/screens/atlas_executive_goals_screen.dart,P2
1181,lib/features/diagnostics/presentation/screens/atlas_comparative_diagnostic_screen.dart,P2
1180,lib/features/herd/presentation/screens/herd_overview_screen.dart,P2
1156,lib/features/reports/data/services/report_action_pdf_service.dart,P2
1134,backend/app/migrations/reconciliation.py,P2
1129,lib/features/executive_brain/presentation/screens/atlas_executive_brain_screen.dart,P2
1108,lib/features/atlas_enterprise_50/presentation/screens/atlas_enterprise_50_screen.dart,P2
1071,lib/features/dashboard/domain/services/decision_score_engine.dart,P2
1064,lib/features/dashboard/data/services/executive_dashboard_pdf_service.dart,P2
1063,lib/core/operational_intelligence/action_plan/atlas_health_intelligence_screen.dart,P2
1054,lib/features/technical_dashboard/presentation/screens/technical_dashboard_screen.dart,P2
