declaration,occurrences,files
AtlasCommandCenterState,2,core/operational_intelligence/atlas_command_center_state.dart | features/command_center/domain/models/atlas_command_center_data.dart
AtlasConsultancyAction,2,features/consultancy_client/domain/models/atlas_consultancy_action.dart | features/consultancy_workflow/domain/models/atlas_consultancy_case.dart
AtlasCopilotAction,2,features/atlas_copilot/domain/models/atlas_copilot_data.dart | features/dashboard/domain/services/atlas_copilot_service.dart
AtlasCopilotIntelligenceCard,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasCopilotScreen,2,features/atlas_copilot/presentation/screens/atlas_copilot_screen.dart | features/copilot/presentation/screens/atlas_copilot_screen.dart
AtlasCopilotService,2,features/atlas_copilot/domain/services/atlas_copilot_service.dart | features/dashboard/domain/services/atlas_copilot_service.dart
AtlasDecisionBadge,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasDecisionRisk,2,features/decision_engine/domain/models/atlas_decision_engine_data.dart | features/decision_intelligence_lab/domain/models/atlas_decision_scenario.dart
AtlasEnterpriseOperationsScreen,2,features/atlas_enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart | features/enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart
AtlasExecutiveIntelligenceScreen,3,core/operational_intelligence/action_plan/atlas_executive_intelligence_screen.dart | features/atlas_executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart | features/executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart
AtlasExecutiveIntelligenceService,2,core/operational_intelligence/action_plan/atlas_executive_intelligence_service.dart | features/executive_intelligence/domain/services/atlas_executive_intelligence_service.dart
AtlasExecutiveKpi,2,core/operational_intelligence/action_plan/atlas_executive_intelligence.dart | features/executive_kpis/domain/models/atlas_executive_kpi.dart
AtlasGroupAnalysis,2,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart
AtlasGroupAnalysisList,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasGroupAnalysisTabs,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasGroupType,2,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart
AtlasInsightCard,3,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart | features/dashboard/presentation/screens/dashboard_screen.dart
AtlasInsightGrid,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasInsightIconType,2,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart
AtlasIntelligenceBadge,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasIntelligenceBrief,2,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart
AtlasIntelligenceHero,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasIntelligenceInsight,2,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart
AtlasIntelligenceLevel,2,features/dashboard/domain/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_operations_intelligence_service.dart
AtlasIntelligenceScreen,2,features/atlas_intelligence/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_intelligence_screen.dart
AtlasIntelligenceService,3,features/atlas_intelligence/domain/services/atlas_intelligence_service.dart | features/atlas_intelligence_center/data/services/atlas_intelligence_service.dart | features/dashboard/domain/services/atlas_intelligence_service.dart
AtlasOperationScorePanel,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasOperationsRepository,2,features/farm_operations/data/services/atlas_operations_repository.dart | features/operations/data/atlas_operations_repository.dart
AtlasPerformanceAlert,2,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_analysis.dart
AtlasPerformanceAlertSeverity,2,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_analysis.dart
AtlasPerformanceEngine,2,features/performance_center/domain/services/atlas_performance_engine.dart | features/performance_intelligence/domain/services/atlas_performance_engine.dart
AtlasPerformanceKpi,2,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_kpi.dart
AtlasPredictiveAiScreen,2,features/atlas_predictive_ai_suite/presentation/screens/atlas_predictive_ai_screen.dart | features/predictive_ai/presentation/screens/atlas_predictive_ai_screen.dart
AtlasPredictiveScenario,2,features/predictive_ai/domain/models/atlas_predictive_scenario.dart | features/predictive_analytics/domain/models/atlas_predictive_analytics_data.dart
AtlasPredictiveScenarioType,2,features/predictive/domain/models/atlas_predictive_scenario.dart | features/predictive_analytics/domain/models/atlas_predictive_analytics_data.dart
AtlasPriorityList,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasReleaseCheck,2,core/release_candidate/atlas_release_candidate_models.dart | features/release_management/domain/models/atlas_release_plan.dart
AtlasSectionTitle,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasSituationSummaryGrid,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasSmallMetric,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasSummaryCard,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
AtlasSyncEngine,2,core/sync/atlas_sync_engine.dart | features/sync_platform/domain/services/atlas_sync_engine.dart
AtlasSyncSummary,2,core/sync/atlas_sync_engine.dart | features/sync_platform/domain/models/atlas_sync_data.dart
AtlasTodayGuidanceCard,2,features/dashboard/presentation/screens/atlas_intelligence_screen.dart | features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart
ExecutiveAlertData,2,features/dashboard/domain/models/executive_dashboard_data.dart | features/dashboard/presentation/screens/executive_dashboard_screen.dart
HeaderMetric,2,features/farm/presentation/screens/farm_detail_screen.dart | features/indicators/presentation/screens/indicators_screen.dart
SectionTitle,3,features/animal/presentation/screens/animal_detail_screen.dart | features/dashboard/presentation/screens/dashboard_screen.dart | features/farm/presentation/screens/farm_detail_screen.dart
