path,bytes,sha256,git_state,extension,error
.flutter-plugins-dependencies,15562,5ef4f6d5b687dd59b8cc765a5dc41ee93e574d4fb889038d373e3613a81b6c3c,PHYSICAL_OR_IGNORED,,
.github/workflows/atlas-full-ci.yml,1043,c00ad3836a0178f691f8957b0d262de10a38c4f490ee8ad83b5c718d2f792234,TRACKED,.yml,
.github/workflows/atlas-publish.yml,684,289fbcf94169d762267fcf12485c8bf5bb3b77ba4e2e64732d0893f1fd2598c2,TRACKED,.yml,
.github/workflows/atlas-release.yml,476,c398a498b7ea4aa2b7b9404b5d1ce7caa0dcd3e72a116ab910487cda23ecf2d2,TRACKED,.yml,
.github/workflows/atlas-staging-cd.yml,512,aa72a52d9510cb959f6ba10a6212d59a6527485c1d28fab46c47e3e94113e99e,TRACKED,.yml,
.github/workflows/atlas_ci.yml,647,9c85617f6212f7c83767d08135275a82a729cd1e61f3d746aa4f4cd4ea149e13,TRACKED,.yml,
.github/workflows/atlas_monthly_bulletins.yml,1153,547795514bc1c638099451e9053ea98ef008de3c528044d4e17fd09e5d554e28,TRACKED,.yml,
.github/workflows/atlas_release.yml,739,0a2336f1733ddf99d4c8868c98f3b1bed25173a25c561a4b585b5917870d410c,TRACKED,.yml,
.github/workflows/enterprise-ci.yml,811,d8762ec5955f9c891a47b1c95972565475ddfd57db42ec124fe92e7c287da200,TRACKED,.yml,
.github/workflows/enterprise-release.yml,805,f765cb48dfcbb7248c670e6e830310a77c689268bee682df87a16a9271a8e03b,TRACKED,.yml,
.github/workflows/quality.yml,946,519aa2ccd1782dc038dd7408db538ccc02e4d34ddd7f31a040bd3d1fce4a3284,TRACKED,.yml,
.gitignore,2132,0a8efb8d8c0c4786e6f1ffb056f9d8bfa49551901bd36ccb3b7ec5edd2788509,TRACKED,,
.idea/libraries/Dart_SDK.xml,1102,abf01dfe614bf0f5853ddcbc7ed5c1462ecec1a5fbeccac14df23789bce2bad9,PHYSICAL_OR_IGNORED,.xml,
.idea/libraries/KotlinJavaRuntime.xml,614,124b21c81c4a853e4dab5e4aa40c6502d5c09f4a9b2a6fdba540e10f67e43738,PHYSICAL_OR_IGNORED,.xml,
.idea/modules.xml,417,0db55691f2f27c8b6c5a0096d1f02e58f1d36c206f9b70377cd82974ab35e767,PHYSICAL_OR_IGNORED,.xml,
.idea/runConfigurations/main_dart.xml,276,75188212480010c08797294663d15f00fd5ca1f474173a5d919493b17b6d9518,PHYSICAL_OR_IGNORED,.xml,
.idea/workspace.xml,1553,5a51b5c6f5c6600657ffe1142a4604838d68311f9dcf0a4c3703b76fc6fbe0f3,PHYSICAL_OR_IGNORED,.xml,
.metadata,1706,130eb49960b81037b053a46d3cf1200e17a1a08b98f4bf1deca3f359e084ef3b,TRACKED,,
ATLAS_10D_FAILURES.zip,28366,e41d51f06ad7f1745ff48d22afb26ea5ce5d8cdc379463a7cbcfbfb36e7d9895,UNTRACKED_NOT_IGNORED,.zip,
ATLAS_AGENDA_INTELIGENTE_INDICADORES_V14_V15.md,1127,b3ada556f20391324cfb39f84846a5979591a90aebdc22a4b4dd807c930899ed,TRACKED,.md,
ATLAS_AMBIENTE_LOCAL.md,2445,3405ccd0b39849d3136c80899a75dcaaa82ece95076a0dc4b3991f5e9dc9a200,TRACKED,.md,
ATLAS_ANDROID_1_IMPLEMENTADO.txt,491,f9747d072df5b6651850799a889c5bf47e13a350d5376383298e9c567867849d,TRACKED,.txt,
ATLAS_ANDROID_1_MANIFEST.json,295,ea73bfca5de6a34b637896592f6dad6223dabacc145e642229f31f2fe6b4c853,TRACKED,.json,
ATLAS_ANDROID_1_PASSOS_11_A_20.txt,143,01fe99e00bc602ada01bfeefa6213b55e0435410f1a3b15c7362a630afbada2f,TRACKED,.txt,
ATLAS_AUDITORIA_AGENDA_20260813.json,347,8f800ed4db9e8b77bd6398bb0710e1bdea0d092713ed6d41ba3ee4a586ef646b,TRACKED,.json,
ATLAS_AUDITORIA_CENTRAL_ANIMAL_20260813.json,740,7f073dadcc2934cff82bc22ce5aef76b389bf5b4acb14feea1e5a2d3c2fbafcf,TRACKED,.json,
