source,target
app.dart,core/operational_intelligence/atlas_command_center_runtime.dart
app.dart,core/operational_intelligence/atlas_command_center_scope.dart
app.dart,core/reactivity/atlas_reactive_runtime.dart
app.dart,core/session/atlas_session_gate.dart
app.dart,features/unified_workflow/domain/services/atlas_unified_workflow_engine.dart
app.dart,shared/theme/app_theme.dart
core/auth/atlas_active_context.dart,features/enterprise_platform/data/services/atlas_enterprise_remote_auth_store.dart
core/auth/atlas_active_context.dart,features/enterprise_platform/domain/models/atlas_enterprise_remote_session.dart
core/contracts/atlas_action_contract.dart,core/contracts/atlas_canonical_types.dart
core/contracts/atlas_alert_contract.dart,core/contracts/atlas_canonical_types.dart
core/contracts/atlas_decision_contract.dart,core/contracts/atlas_canonical_types.dart
core/contracts/atlas_intelligence_contracts.dart,core/contracts/atlas_action_contract.dart
core/contracts/atlas_intelligence_contracts.dart,core/contracts/atlas_alert_contract.dart
core/contracts/atlas_intelligence_contracts.dart,core/contracts/atlas_canonical_types.dart
core/contracts/atlas_intelligence_contracts.dart,core/contracts/atlas_decision_contract.dart
core/contracts/atlas_intelligence_contracts.dart,core/contracts/atlas_recommendation_contract.dart
core/contracts/atlas_intelligence_contracts.dart,core/contracts/atlas_scenario_contract.dart
core/contracts/atlas_recommendation_contract.dart,core/contracts/atlas_canonical_types.dart
core/contracts/atlas_scenario_contract.dart,core/contracts/atlas_canonical_types.dart
core/event_center/atlas_event_analytics_data.dart,core/events/atlas_event.dart
core/event_center/atlas_event_analytics_screen.dart,core/event_center/atlas_event_analytics_data.dart
core/event_center/atlas_event_analytics_screen.dart,core/event_center/atlas_event_analytics_service.dart
core/event_center/atlas_event_analytics_screen.dart,core/event_center/atlas_event_log_service.dart
core/event_center/atlas_event_analytics_screen.dart,core/events/atlas_event.dart
core/event_center/atlas_event_analytics_service.dart,core/event_center/atlas_event_analytics_data.dart
core/event_center/atlas_event_analytics_service.dart,core/event_center/atlas_event_log_entry.dart
core/event_center/atlas_event_analytics_service.dart,core/events/atlas_event.dart
core/event_center/atlas_event_center_screen.dart,core/branding/atlas_livestock_icons.dart
core/event_center/atlas_event_center_screen.dart,core/event_center/atlas_event_analytics_screen.dart
core/event_center/atlas_event_center_screen.dart,core/event_center/atlas_event_detail_screen.dart
core/event_center/atlas_event_center_screen.dart,core/event_center/atlas_event_log_entry.dart
