declaration,occurrences,files
AtlasCopilotAction,2,features/atlas_copilot/domain/models/atlas_copilot_data.dart | features/dashboard/domain/services/atlas_copilot_service.dart
AtlasDecisionRisk,2,features/decision_engine/domain/models/atlas_decision_engine_data.dart | features/decision_intelligence_lab/domain/models/atlas_decision_scenario.dart
AtlasInsightCard,2,features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart | features/dashboard/presentation/screens/dashboard_screen.dart
AtlasPerformanceAlert,2,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_analysis.dart
AtlasPerformanceAlertSeverity,2,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_analysis.dart
AtlasPerformanceEngine,2,features/performance_center/domain/services/atlas_performance_engine.dart | features/performance_intelligence/domain/services/atlas_performance_engine.dart
AtlasPerformanceKpi,2,features/performance_center/domain/models/atlas_performance_snapshot.dart | features/performance_intelligence/domain/models/atlas_performance_kpi.dart
AtlasPredictiveScenario,2,features/predictive_ai/domain/models/atlas_predictive_scenario.dart | features/predictive_analytics/domain/models/atlas_predictive_analytics_data.dart
AtlasPredictiveScenarioType,2,features/predictive/domain/models/atlas_predictive_scenario.dart | features/predictive_analytics/domain/models/atlas_predictive_analytics_data.dart
ExecutiveAlertData,2,features/dashboard/domain/models/executive_dashboard_data.dart | features/dashboard/presentation/screens/executive_dashboard_screen.dart
HeaderMetric,2,features/farm/presentation/screens/farm_detail_screen.dart | features/indicators/presentation/screens/indicators_screen.dart
SectionTitle,2,features/dashboard/presentation/screens/dashboard_screen.dart | features/farm/presentation/screens/farm_detail_screen.dart
