path,module,layer,role,lines,bytes,local_import_count,external_import_count,public_declarations,is_screen,has_navigation,incoming_references
app.dart,app,app.dart,screen/widget,48,1384,6,1,AtlasApp,False,False,1
core/auth/atlas_active_context.dart,core,auth,model/contract,57,1703,2,0,AtlasActiveContext,False,False,1
core/auth/atlas_auth_models.dart,core,auth,support,34,574,0,0,AtlasRole | AtlasSession,False,False,0
core/branding/atlas_branding.dart,core,branding,screen/widget,38,924,0,1,AtlasBranding | BeserraLogo,False,False,2
core/branding/atlas_livestock_icons.dart,core,branding,support,10,379,0,1,,False,False,39
core/contracts/atlas_action_contract.dart,core,contracts,support,73,1849,1,0,AtlasActionContract | AtlasActionChecklistContract,False,False,3
core/contracts/atlas_alert_contract.dart,core,contracts,support,44,1099,1,0,AtlasAlertContract,False,False,3
core/contracts/atlas_canonical_types.dart,core,contracts,support,53,1521,0,0,AtlasCanonicalPriority | AtlasCanonicalStatus | AtlasCanonicalHorizon | AtlasCanonicalRisk | AtlasCanonicalConfidenceLevel,False,False,30
core/contracts/atlas_decision_contract.dart,core,contracts,support,93,2830,1,0,AtlasDecisionContract,False,False,5
core/contracts/atlas_intelligence_contracts.dart,core,contracts,support,7,233,0,0,,False,False,0
core/contracts/atlas_recommendation_contract.dart,core,contracts,support,48,1259,1,0,AtlasRecommendationContract,False,False,1
core/contracts/atlas_scenario_contract.dart,core,contracts,support,44,1202,1,0,AtlasScenarioContract,False,False,1
core/database/atlas_database.dart,core,database,support,27,595,0,0,AtlasDatabase | AtlasRepositoryBase | AtlasMigration,False,False,0
core/database/atlas_local_database.dart,core,database,support,162,4214,0,3,AtlasLocalDatabase,False,False,2
core/errors/atlas_error_reporter.dart,core,errors,support,28,579,0,2,AtlasErrorReporter,False,False,1
core/event_center/atlas_event_analytics_data.dart,core,event_center,model/contract,122,2938,1,0,AtlasEventAnalyticsData | AtlasEventAnalyticsRankingItem | AtlasEventAnalyticsTypeItem | AtlasEventAnalyticsDailyPoint | AtlasEventAnalyticsCriticalPattern | AtlasEventAnalyticsRecommendation,False,False,4
core/event_center/atlas_event_analytics_screen.dart,core,event_center,screen/widget,525,15913,4,1,AtlasEventAnalyticsScreen,True,False,1
core/event_center/atlas_event_analytics_service.dart,core,event_center,service/engine,302,9387,3,0,AtlasEventAnalyticsService,False,False,3
core/event_center/atlas_event_center_screen.dart,core,event_center,screen/widget,688,21170,9,2,AtlasEventCenterScreen,True,True,1
core/event_center/atlas_event_detail_screen.dart,core,event_center,screen/widget,248,8556,2,1,AtlasEventDetailScreen,True,False,2
core/event_center/atlas_event_log_entry.dart,core,event_center,support,112,3446,1,0,AtlasEventLogEntry,False,False,7
core/event_center/atlas_event_log_filter.dart,core,event_center,support,72,1735,2,0,AtlasEventLogFilter,False,False,3
core/event_center/atlas_event_log_service.dart,core,event_center,service/engine,162,3791,5,3,AtlasEventLogService,False,False,7
core/events/atlas_event.dart,core,events,support,332,8165,0,0,AtlasEvent | AtlasEventType | AtlasEventPriority,False,False,49
core/events/atlas_event_bus.dart,core,events,model/contract,212,4822,3,1,AtlasEventBus | AtlasEventDispatchResult | AtlasEventListenerError,False,False,24
core/events/atlas_event_factory.dart,core,events,support,192,5485,1,0,AtlasEventFactory,False,False,8
core/events/atlas_event_filter.dart,core,events,support,67,1429,1,0,AtlasEventFilter,False,False,7
core/events/atlas_event_observer.dart,core,events,support,49,1039,2,1,AtlasEventObserver,False,False,0
core/events/atlas_event_subscription.dart,core,events,support,21,543,2,0,AtlasEventListener | AtlasEventSubscription,False,False,1
core/foundation/atlas_foundation_center_screen.dart,core,foundation,screen/widget,190,5946,2,1,AtlasFoundationCenterScreen,True,False,1
core/foundation/atlas_foundation_models.dart,core,foundation,support,68,1780,0,0,AtlasFoundationCheck | AtlasFoundationSnapshot,False,False,2
core/foundation/atlas_foundation_repository.dart,core,foundation,service/engine,117,3712,1,2,AtlasFoundationRepository,False,False,1
core/integration/atlas_integration_core.dart,core,integration,support,95,2692,3,1,AtlasIntegrationSnapshot | AtlasIntegrationCore,False,False,1
core/integration/atlas_integration_core_screen.dart,core,integration,screen/widget,266,7785,3,1,AtlasIntegrationCoreScreen,True,False,1
core/integration/atlas_integration_event.dart,core,integration,support,29,643,0,0,AtlasIntegrationEvent,False,False,2
core/integration/atlas_integration_module.dart,core,integration,support,40,980,0,0,AtlasIntegrationModule,False,False,3
core/integration/atlas_module_registry.dart,core,integration,support,115,3238,1,0,AtlasModuleRegistry,False,False,1
